 table_name |   column_name   
------------+-----------------
 articles   | id
 articles   | slug
 articles   | title
 articles   | excerpt
 articles   | body
 articles   | status
 articles   | author_user_id
 articles   | published_at
 articles   | created_at
 articles   | updated_at
 banners    | id
 banners    | placement_code
 banners    | title
 banners    | image_url
 banners    | destination_url
 banners    | starts_at
 banners    | ends_at
 banners    | active
 faqs       | id
 faqs       | question
 faqs       | answer
 faqs       | sort_order
 faqs       | active
 pages      | id
 pages      | slug
 pages      | title
 pages      | body
 pages      | status
 pages      | seo_title
 pages      | seo_description
 pages      | published_at
 pages      | created_by
 pages      | created_at
 pages      | updated_at
(34 rows)

