code,name_en,name_so,slug,latitude,longitude,source,source_version,verification_status,active
AW,Awdal,Awdal,awdal,,,Curated baseline,1.0,pending,true
BK,Bakool,Bakool,bakool,,,Curated baseline,1.0,pending,true
BN,Banaadir,Banaadir,banaadir,2.0469,45.3182,Curated baseline,1.0,verified,true
BR,Bari,Bari,bari,,,Curated baseline,1.0,pending,true
BY,Bay,Bay,bay,,,Curated baseline,1.0,pending,true
GD,Gedo,Gedo,gedo,,,Curated baseline,1.0,pending,true
GG,Galgaduud,Galgaduud,galgaduud,,,Curated baseline,1.0,pending,true
HR,Hiiraan,Hiiraan,hiiraan,,,Curated baseline,1.0,pending,true
JD,Lower Juba,Jubbada Hoose,lower-juba,,,Curated baseline,1.0,pending,true
JH,Middle Juba,Jubbada Dhexe,middle-juba,,,Curated baseline,1.0,pending,true
SD,Lower Shabelle,Shabeellaha Hoose,lower-shabelle,,,Curated baseline,1.0,pending,true
SH,Middle Shabelle,Shabeellaha Dhexe,middle-shabelle,,,Curated baseline,1.0,pending,true
MD,Mudug,Mudug,mudug,,,Curated baseline,1.0,pending,true
NG,Nugaal,Nugaal,nugaal,,,Curated baseline,1.0,pending,true
SG,Sanaag,Sanaag,sanaag,,,Curated baseline,1.0,pending,true
SL,Sool,Sool,sool,,,Curated baseline,1.0,pending,true
TG,Togdheer,Togdheer,togdheer,,,Curated baseline,1.0,pending,true
WG,Woqooyi Galbeed,Woqooyi Galbeed,woqooyi-galbeed,,,Curated baseline,1.0,pending,true
